municipality,year,metric,value,unit,yoy_change_pct,five_year_change_pct,source_name,source_url,source_last_updated,licence,snapshot_retrieved_at
Peace No. 135,2025,natural_gas_production,11400000,m3,-23.3,-30.8,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/peace-no-135/natural-gas-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24
Opportunity No. 17,2025,natural_gas_production,118600000,m3,-9.44,-14.8,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/opportunity-no-17/natural-gas-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24
Edmonton,2025,natural_gas_production,773400,m3,-5.06,-26.9,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/edmonton/natural-gas-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24
Special Area No. 4,2025,natural_gas_production,293600000,m3,-24.5,-38.3,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/special-area-no-4/natural-gas-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24
Rocky View County,2025,natural_gas_production,1700000000,m3,19.8,22.2,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/rocky-view-county/natural-gas-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24
Calgary,2025,natural_gas_production,466800,m3,-13.7,-37.6,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/calgary/natural-gas-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24
Special Area No. 3,2025,natural_gas_production,21400000,m3,-22.0,-51.6,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/special-area-no-3/natural-gas-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24
Acadia No. 34,2025,natural_gas_production,2400000,m3,-29.8,-45.8,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/acadia-no-34/natural-gas-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24
Warner County No. 5,2025,natural_gas_production,246300000,m3,-11.5,23.0,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/warner-county-no-5/natural-gas-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24
Fairview No. 136,2025,natural_gas_production,252300000,m3,-3.48,-28.7,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/fairview-no-136/natural-gas-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24
