municipality,year,metric,value,unit,yoy_change_pct,five_year_change_pct,source_name,source_url,source_last_updated,licence,snapshot_retrieved_at
Opportunity No. 17,2025,oil_production,3100000,m3,-3.94,-15.1,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/opportunity-no-17/oil-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24
Provost No. 52,2025,oil_production,1200000,m3,-1.52,3.09,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/provost-no-52/oil-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24
Peace No. 135,2025,oil_production,40395,m3,-23.5,-38.3,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/peace-no-135/oil-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24
Greenview No. 16,2025,oil_production,5200000,m3,12.2,50.7,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/greenview-no-16/oil-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24
Lesser Slave River No. 124,2025,oil_production,6300000,m3,14.6,343.8,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/lesser-slave-river-no-124/oil-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24
Edmonton,2025,oil_production,3725,m3,-14.9,-27.3,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/edmonton/oil-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24
Bonnyville No. 87,2025,oil_production,32500000,m3,8.67,27.0,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/bonnyville-no-87/oil-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24
Special Area No. 2,2025,oil_production,462060,m3,-0.37,3.87,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/special-area-no-2/oil-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24
Wainwright No. 61,2025,oil_production,1000000,m3,6.41,28.9,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/wainwright-no-61/oil-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24
Special Area No. 3,2025,oil_production,37985,m3,-7.38,-19.0,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/special-area-no-3/oil-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24
Athabasca County,2025,oil_production,172596,m3,-3.1,543.9,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/athabasca-county/oil-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24
"Taber, M.D.",2025,oil_production,359101,m3,-8.08,-19.7,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/taber-md/oil-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24
