municipality,year,metric,value,unit,yoy_change_pct,five_year_change_pct,source_name,source_url,source_last_updated,licence,snapshot_retrieved_at
Peace No. 135,2024,well_count,9,count,0.0,80.0,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/peace-no-135/well-count/,2025-08-01,Open Government Licence - Alberta,2026-07-24
Bonnyville No. 87,2024,well_count,286,count,6.72,-1.04,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/bonnyville-no-87/well-count/,2025-08-01,Open Government Licence - Alberta,2026-07-24
Greenview No. 16,2024,well_count,571,count,-8.35,24.1,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/greenview-no-16/well-count/,2025-08-01,Open Government Licence - Alberta,2026-07-24
Lesser Slave River No. 124,2024,well_count,551,count,-0.36,-26.3,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/lesser-slave-river-no-124/well-count/,2025-08-01,Open Government Licence - Alberta,2026-07-24
Opportunity No. 17,2024,well_count,99,count,1.02,209.4,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/opportunity-no-17/well-count/,2025-08-01,Open Government Licence - Alberta,2026-07-24
Wainwright No. 61,2024,well_count,62,count,-3.13,264.7,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/wainwright-no-61/well-count/,2025-08-01,Open Government Licence - Alberta,2026-07-24
Special Area No. 2,2024,well_count,15,count,-11.8,-55.9,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/special-area-no-2/well-count/,2025-08-01,Open Government Licence - Alberta,2026-07-24
Provost No. 52,2024,well_count,83,count,-7.78,-29.1,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/provost-no-52/well-count/,2025-08-01,Open Government Licence - Alberta,2026-07-24
Athabasca County,2024,well_count,34,count,0.0,-15.0,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/athabasca-county/well-count/,2025-08-01,Open Government Licence - Alberta,2026-07-24
Special Area No. 4,2024,well_count,112,count,-5.88,-42.3,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/special-area-no-4/well-count/,2025-08-01,Open Government Licence - Alberta,2026-07-24
Special Area No. 3,2024,well_count,4,count,0.0,300.0,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/special-area-no-3/well-count/,2025-08-01,Open Government Licence - Alberta,2026-07-24
