municipality,year,metric,value,unit,yoy_change_pct,five_year_change_pct,source_name,source_url,source_last_updated,licence,snapshot_retrieved_at,record_hash,source_file,ingested_at_utc
Peace No. 135,2025,natural_gas_production,11400000,m3,-23.3,-30.8,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/peace-no-135/natural-gas-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24,a69236c6d7d74eed7af1be24b747e925a1adac1b951e53898ec6372b69450175,natural_gas_production_by_municipality_2025.csv,2026-07-27T03:04:22.338743+00:00
Opportunity No. 17,2025,natural_gas_production,118600000,m3,-9.44,-14.8,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/opportunity-no-17/natural-gas-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24,ef2054de4804969dfb3f44412fd4521137cb5388fcaed39832e817a9887b1821,natural_gas_production_by_municipality_2025.csv,2026-07-27T03:04:22.338743+00:00
Edmonton,2025,natural_gas_production,773400,m3,-5.06,-26.9,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/edmonton/natural-gas-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24,02c8adbec554fc97dc95f8d70b4f5576e7234dabdc48f5d50c032c40cf750dfa,natural_gas_production_by_municipality_2025.csv,2026-07-27T03:04:22.338743+00:00
Special Area No. 4,2025,natural_gas_production,293600000,m3,-24.5,-38.3,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/special-area-no-4/natural-gas-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24,4253abd6563c1a35a5c2cbaea25195e704d3c1dc5211d187b8293ce69631def8,natural_gas_production_by_municipality_2025.csv,2026-07-27T03:04:22.338743+00:00
Rocky View County,2025,natural_gas_production,1700000000,m3,19.8,22.2,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/rocky-view-county/natural-gas-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24,df8ddf62a2d2f64ce18df219a295aafc56af743ea85833d263ca1171108efa6f,natural_gas_production_by_municipality_2025.csv,2026-07-27T03:04:22.338743+00:00
Calgary,2025,natural_gas_production,466800,m3,-13.7,-37.6,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/calgary/natural-gas-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24,ffc66f03065a51b0d0b63a6dfb3418ccff04d18ea3e4fccbfe528efcea685df1,natural_gas_production_by_municipality_2025.csv,2026-07-27T03:04:22.338743+00:00
Special Area No. 3,2025,natural_gas_production,21400000,m3,-22.0,-51.6,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/special-area-no-3/natural-gas-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24,679f4cb0b63c4d1db5d4e8024b43ab28db29aef7fc7c8c69e9d07dc623e26f60,natural_gas_production_by_municipality_2025.csv,2026-07-27T03:04:22.338743+00:00
Acadia No. 34,2025,natural_gas_production,2400000,m3,-29.8,-45.8,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/acadia-no-34/natural-gas-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24,9ae5faf3c6bc0964b7e4403c590cf8369a1aa69d2d57ef5d70c15e7ee9ea576b,natural_gas_production_by_municipality_2025.csv,2026-07-27T03:04:22.338743+00:00
Warner County No. 5,2025,natural_gas_production,246300000,m3,-11.5,23.0,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/warner-county-no-5/natural-gas-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24,ec4baf1330b3620cd2bb1153f7bd714b0c421bc92b4d4387425f7d69f70850dd,natural_gas_production_by_municipality_2025.csv,2026-07-27T03:04:22.338743+00:00
Fairview No. 136,2025,natural_gas_production,252300000,m3,-3.48,-28.7,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/fairview-no-136/natural-gas-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24,5f532276b0b0b3a86ea0d30f316aa3457fcb88e64af4b8c8952fddeee7eb90bb,natural_gas_production_by_municipality_2025.csv,2026-07-27T03:04:22.338743+00:00
