municipality,year,metric,value,unit,yoy_change_pct,five_year_change_pct,source_name,source_url,source_last_updated,licence,snapshot_retrieved_at,record_hash,source_file,ingested_at_utc
Peace No. 135,2024,well_count,9,count,0.0,80.0,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/peace-no-135/well-count/,2025-08-01,Open Government Licence - Alberta,2026-07-24,d66567605e777e593ac67b7ab51378bf52d719e367ca6b3cae2a3ca2e7068306,well_count_by_municipality_2024.csv,2026-07-27T03:04:22.340277+00:00
Bonnyville No. 87,2024,well_count,286,count,6.72,-1.04,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/bonnyville-no-87/well-count/,2025-08-01,Open Government Licence - Alberta,2026-07-24,4d3027e0745eb50a23238d8dbbdd32f9c393420dc4c25f6c78af133dc41db2be,well_count_by_municipality_2024.csv,2026-07-27T03:04:22.340277+00:00
Greenview No. 16,2024,well_count,571,count,-8.35,24.1,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/greenview-no-16/well-count/,2025-08-01,Open Government Licence - Alberta,2026-07-24,6d846d59e141f5bd9f44fc5f97cc95d07c58f990edf6a087a67b77fa37e2c622,well_count_by_municipality_2024.csv,2026-07-27T03:04:22.340277+00:00
Lesser Slave River No. 124,2024,well_count,551,count,-0.36,-26.3,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/lesser-slave-river-no-124/well-count/,2025-08-01,Open Government Licence - Alberta,2026-07-24,964fef7e438eb23c118daceab48e8a8626169f00a8279d00634c8bdeac99dca7,well_count_by_municipality_2024.csv,2026-07-27T03:04:22.340277+00:00
Opportunity No. 17,2024,well_count,99,count,1.02,209.4,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/opportunity-no-17/well-count/,2025-08-01,Open Government Licence - Alberta,2026-07-24,0e6b649cb2c4a21dd17a5651e4b76e71429e6d3f325dbe8e099301bac21c648c,well_count_by_municipality_2024.csv,2026-07-27T03:04:22.340277+00:00
Wainwright No. 61,2024,well_count,62,count,-3.13,264.7,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/wainwright-no-61/well-count/,2025-08-01,Open Government Licence - Alberta,2026-07-24,b98e19f09ee370702d07bf387b09ab353582f53a27aea0b030f881dca901a391,well_count_by_municipality_2024.csv,2026-07-27T03:04:22.340277+00:00
Special Area No. 2,2024,well_count,15,count,-11.8,-55.9,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/special-area-no-2/well-count/,2025-08-01,Open Government Licence - Alberta,2026-07-24,cf8bd4589eeed79ddd52aa48e90a92f9212cf731e7f39af0364d3b9ef060b676,well_count_by_municipality_2024.csv,2026-07-27T03:04:22.340277+00:00
Provost No. 52,2024,well_count,83,count,-7.78,-29.1,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/provost-no-52/well-count/,2025-08-01,Open Government Licence - Alberta,2026-07-24,0ec22b42e7f505ccc72086307f2ae0e1fa11f1c18c1a44d7e58d43322031d562,well_count_by_municipality_2024.csv,2026-07-27T03:04:22.340277+00:00
Athabasca County,2024,well_count,34,count,0.0,-15.0,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/athabasca-county/well-count/,2025-08-01,Open Government Licence - Alberta,2026-07-24,51dac78f51c9ca0a4a3702b27405c2485f76939890317ed05179e072a60a14bc,well_count_by_municipality_2024.csv,2026-07-27T03:04:22.340277+00:00
Special Area No. 4,2024,well_count,112,count,-5.88,-42.3,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/special-area-no-4/well-count/,2025-08-01,Open Government Licence - Alberta,2026-07-24,bcdeea1a5b23ec54258e75d6abf8eecf6eecebbd416dc0e8fbb20f9f19b6ed86,well_count_by_municipality_2024.csv,2026-07-27T03:04:22.340277+00:00
Special Area No. 3,2024,well_count,4,count,0.0,300.0,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/special-area-no-3/well-count/,2025-08-01,Open Government Licence - Alberta,2026-07-24,8cb201c60f8cfd3c9c69fa8c8f17e08c9a895b204227e78476cb2f6ed6cd5f11,well_count_by_municipality_2024.csv,2026-07-27T03:04:22.340277+00:00
