municipality,year,metric,value,unit,yoy_change_pct,five_year_change_pct,source_name,source_url,source_last_updated,licence,snapshot_retrieved_at,record_hash,source_file,ingested_at_utc,municipality_key
Athabasca County,2025,oil_production,172596.0,m3,-3.1,543.9,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/athabasca-county/oil-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24,0b9976d8c7d33a679ed725a13122056ffe5641cdd6ee93138af3570a4aa96ec6,oil_production_by_municipality_2025.csv,2026-07-27T03:04:22.336961+00:00,e053c93457c8
Bonnyville No. 87,2025,oil_production,32500000.0,m3,8.67,27.0,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/bonnyville-no-87/oil-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24,a758b24ffb68c679c77e5ef8cd23bc332fbf75439080701434cda88a98f45a92,oil_production_by_municipality_2025.csv,2026-07-27T03:04:22.336961+00:00,2c74a352550c
Edmonton,2025,oil_production,3725.0,m3,-14.9,-27.3,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/edmonton/oil-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24,c3f61497acbf1fb2d66f896b7216b9c5c34449670e882e43ffb1e84dc0cf2cba,oil_production_by_municipality_2025.csv,2026-07-27T03:04:22.336961+00:00,59213a077d07
Greenview No. 16,2025,oil_production,5200000.0,m3,12.2,50.7,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/greenview-no-16/oil-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24,64f20920104f96d1795ecba7c245909777658125f794f229467c657bcfb57195,oil_production_by_municipality_2025.csv,2026-07-27T03:04:22.336961+00:00,0cd75a814fce
Lesser Slave River No. 124,2025,oil_production,6300000.0,m3,14.6,343.8,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/lesser-slave-river-no-124/oil-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24,225a421ee4e80bf48f2f91f58137515f20b19bb7b6d0dda3d0404133ca2f25e5,oil_production_by_municipality_2025.csv,2026-07-27T03:04:22.336961+00:00,142ea646fdd7
Opportunity No. 17,2025,oil_production,3100000.0,m3,-3.94,-15.1,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/opportunity-no-17/oil-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24,2ed9f3172e7c9c3e051bc3ab7f7f00a64be914f7eff796b1fb4e35e7318cb7c0,oil_production_by_municipality_2025.csv,2026-07-27T03:04:22.336961+00:00,b5c9ef564d6b
Peace No. 135,2025,oil_production,40395.0,m3,-23.5,-38.3,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/peace-no-135/oil-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24,62714926782d6ef4d08d9c3b3ff3eb434351807f4191aca2097352ea463cb707,oil_production_by_municipality_2025.csv,2026-07-27T03:04:22.336961+00:00,ad04a5d6e3de
Provost No. 52,2025,oil_production,1200000.0,m3,-1.52,3.09,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/provost-no-52/oil-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24,ffccfa38aca72474dbc4381af793dbc59f75bcf32327ae93b3b7fb5220e515e4,oil_production_by_municipality_2025.csv,2026-07-27T03:04:22.336961+00:00,53183b2008d7
Special Area No. 2,2025,oil_production,462060.0,m3,-0.37,3.87,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/special-area-no-2/oil-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24,8f45917643cdfff120e704925f9e7458583dead4069b6623aab9827859623873,oil_production_by_municipality_2025.csv,2026-07-27T03:04:22.336961+00:00,e4135f046a88
Special Area No. 3,2025,oil_production,37985.0,m3,-7.38,-19.0,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/special-area-no-3/oil-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24,291949d43b2136406c3d99ff8c751034dff27026508afee4ec3d048266d2e90b,oil_production_by_municipality_2025.csv,2026-07-27T03:04:22.336961+00:00,6390285e4aab
"Taber, M.D.",2025,oil_production,359101.0,m3,-8.08,-19.7,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/taber-md/oil-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24,bd119b37685470900e5b498c40f1a0a00a00555b9fb4b331f2aecc9a71dd63ae,oil_production_by_municipality_2025.csv,2026-07-27T03:04:22.336961+00:00,c41c50ac5ab8
Wainwright No. 61,2025,oil_production,1000000.0,m3,6.41,28.9,Government of Alberta Regional Dashboard,https://regionaldashboard.alberta.ca/region/wainwright-no-61/oil-production/,2026-04-09,Open Government Licence - Alberta,2026-07-24,5c14fcd82f6df4fb14c3870522756d155e1beb934cefcb2e5a965d04f0721ce0,oil_production_by_municipality_2025.csv,2026-07-27T03:04:22.336961+00:00,86a078b2ff30
