municipality_key,municipality,oil_year,oil_m3_2025,oil_yoy_pct,oil_five_year_pct,gas_year,gas_m3_2025,gas_yoy_pct,gas_five_year_pct,well_count_year,well_count_2024,well_count_yoy_pct,well_count_five_year_pct,oil_m3_2024_estimated,gas_m3_2024_estimated,oil_m3_2020_estimated,gas_m3_2020_estimated,oil_m3_per_reported_well,gas_m3_per_reported_well,combined_yoy_pct,activity_class,energy_activity_score
b5c9ef564d6b,Opportunity No. 17,2025.0,3100000.0,-3.94,-15.1,2025.0,118600000.0,-9.44,-14.8,2024.0,99.0,1.02,209.4,3227149.6981053506,130962897.52650177,3651354.534746761,139201877.9342723,31313.131313131315,1197979.797979798,-6.6899999999999995,Declining,84.01
2c74a352550c,Bonnyville No. 87,2025.0,32500000.0,8.67,27.0,,0.0,,,2024.0,286.0,6.72,-1.04,29907058.065703508,,25590551.18110236,,113636.36363636363,0.0,8.67,Expanding,62.83
ad04a5d6e3de,Peace No. 135,2025.0,40395.0,-23.5,-38.3,2025.0,11400000.0,-23.3,-30.8,2024.0,9.0,0.0,80.0,52803.92156862745,14863102.99869622,65470.01620745543,16473988.43930636,4488.333333333333,1266666.6666666667,-23.4,Declining,61.61
142ea646fdd7,Lesser Slave River No. 124,2025.0,6300000.0,14.6,343.8,,0.0,,,2024.0,551.0,-0.36,-26.3,5497382.19895288,,1419558.359621451,,11433.756805807623,0.0,14.6,Expanding,60.62
6390285e4aab,Special Area No. 3,2025.0,37985.0,-7.38,-19.0,2025.0,21400000.0,-22.0,-51.6,2024.0,4.0,0.0,300.0,41011.66054847765,27435897.435897436,46895.061728395056,44214876.03305785,9496.25,5350000.0,-14.69,Declining,60.3
0cd75a814fce,Greenview No. 16,2025.0,5200000.0,12.2,50.7,,0.0,,,2024.0,571.0,-8.35,24.1,4634581.105169341,,3450564.03450564,,9106.830122591944,0.0,12.2,Expanding,60.23
53183b2008d7,Provost No. 52,2025.0,1200000.0,-1.52,3.09,,0.0,,,2024.0,83.0,-7.78,-29.1,1218521.5272136475,,1164031.428848579,,14457.831325301206,0.0,-1.52,Stable,50.37
86a078b2ff30,Wainwright No. 61,2025.0,1000000.0,6.41,28.9,,0.0,,,2024.0,62.0,-3.13,264.7,939761.30062964,,775795.1900698217,,16129.032258064517,0.0,6.41,Expanding,48.99
3b12ce1117bf,Special Area No. 4,,0.0,,,2025.0,293600000.0,-24.5,-38.3,2024.0,112.0,-5.88,-42.3,,388874172.18543047,,475850891.4100486,0.0,2621428.5714285714,-24.5,Declining,47.0
59213a077d07,Edmonton,2025.0,3725.0,-14.9,-27.3,2025.0,773400.0,-5.06,-26.9,,0.0,,,4377.203290246769,814619.7598483253,5123.796423658872,1058002.735978112,,,-9.98,Declining,43.72
e4135f046a88,Special Area No. 2,2025.0,462060.0,-0.37,3.87,,0.0,,,2024.0,15.0,-11.8,-55.9,463775.97109304427,,444844.5171849427,,30804.0,0.0,-0.37,Stable,42.67
e053c93457c8,Athabasca County,2025.0,172596.0,-3.1,543.9,,0.0,,,2024.0,34.0,0.0,-15.0,178117.64705882352,,26804.78335145209,,5076.35294117647,0.0,-3.1,Stable,42.57
e903eee28e71,Rocky View County,,0.0,,,2025.0,1700000000.0,19.8,22.2,,0.0,,,,1419031719.5325544,,1391162029.4599018,,,19.8,Expanding,35.0
c41c50ac5ab8,"Taber, M.D.",2025.0,359101.0,-8.08,-19.7,,0.0,,,,0.0,,,390666.88424717146,,447199.2528019925,,,,-8.08,Declining,33.28
054b0fa1c822,Fairview No. 136,,0.0,,,2025.0,252300000.0,-3.48,-28.7,,0.0,,,,261396601.7405719,,353856942.49649364,,,-3.48,Stable,31.86
8e4dc1f4f41a,Warner County No. 5,,0.0,,,2025.0,246300000.0,-11.5,23.0,,0.0,,,,278305084.7457627,,200243902.4390244,,,-11.5,Declining,31.82
e5ad794c0fcd,Acadia No. 34,,0.0,,,2025.0,2400000.0,-29.8,-45.8,,0.0,,,,3418803.418803419,,4428044.280442804,,,-29.8,Declining,24.19
341f887ca706,Calgary,,0.0,,,2025.0,466800.0,-13.7,-37.6,,0.0,,,,540903.8238702202,,748076.9230769231,,,-13.7,Declining,21.5
