municipality_key,municipality,year,metric,value,unit,yoy_change_pct,five_year_change_pct
e903eee28e71,Rocky View County,2025,natural_gas_production,1700000000.0,m3,19.8,22.2
3b12ce1117bf,Special Area No. 4,2025,natural_gas_production,293600000.0,m3,-24.5,-38.3
054b0fa1c822,Fairview No. 136,2025,natural_gas_production,252300000.0,m3,-3.48,-28.7
8e4dc1f4f41a,Warner County No. 5,2025,natural_gas_production,246300000.0,m3,-11.5,23.0
b5c9ef564d6b,Opportunity No. 17,2025,natural_gas_production,118600000.0,m3,-9.44,-14.8
6390285e4aab,Special Area No. 3,2025,natural_gas_production,21400000.0,m3,-22.0,-51.6
ad04a5d6e3de,Peace No. 135,2025,natural_gas_production,11400000.0,m3,-23.3,-30.8
e5ad794c0fcd,Acadia No. 34,2025,natural_gas_production,2400000.0,m3,-29.8,-45.8
59213a077d07,Edmonton,2025,natural_gas_production,773400.0,m3,-5.06,-26.9
341f887ca706,Calgary,2025,natural_gas_production,466800.0,m3,-13.7,-37.6
