municipality_key,municipality,year,metric,value,unit,yoy_change_pct,five_year_change_pct
2c74a352550c,Bonnyville No. 87,2025,oil_production,32500000.0,m3,8.67,27.0
142ea646fdd7,Lesser Slave River No. 124,2025,oil_production,6300000.0,m3,14.6,343.8
0cd75a814fce,Greenview No. 16,2025,oil_production,5200000.0,m3,12.2,50.7
b5c9ef564d6b,Opportunity No. 17,2025,oil_production,3100000.0,m3,-3.94,-15.1
53183b2008d7,Provost No. 52,2025,oil_production,1200000.0,m3,-1.52,3.09
86a078b2ff30,Wainwright No. 61,2025,oil_production,1000000.0,m3,6.41,28.9
e4135f046a88,Special Area No. 2,2025,oil_production,462060.0,m3,-0.37,3.87
c41c50ac5ab8,"Taber, M.D.",2025,oil_production,359101.0,m3,-8.08,-19.7
e053c93457c8,Athabasca County,2025,oil_production,172596.0,m3,-3.1,543.9
ad04a5d6e3de,Peace No. 135,2025,oil_production,40395.0,m3,-23.5,-38.3
6390285e4aab,Special Area No. 3,2025,oil_production,37985.0,m3,-7.38,-19.0
59213a077d07,Edmonton,2025,oil_production,3725.0,m3,-14.9,-27.3
