municipality_key,municipality,year,metric,value,unit,yoy_change_pct,five_year_change_pct
0cd75a814fce,Greenview No. 16,2024,well_count,571.0,count,-8.35,24.1
142ea646fdd7,Lesser Slave River No. 124,2024,well_count,551.0,count,-0.36,-26.3
2c74a352550c,Bonnyville No. 87,2024,well_count,286.0,count,6.72,-1.04
3b12ce1117bf,Special Area No. 4,2024,well_count,112.0,count,-5.88,-42.3
b5c9ef564d6b,Opportunity No. 17,2024,well_count,99.0,count,1.02,209.4
53183b2008d7,Provost No. 52,2024,well_count,83.0,count,-7.78,-29.1
86a078b2ff30,Wainwright No. 61,2024,well_count,62.0,count,-3.13,264.7
e053c93457c8,Athabasca County,2024,well_count,34.0,count,0.0,-15.0
e4135f046a88,Special Area No. 2,2024,well_count,15.0,count,-11.8,-55.9
ad04a5d6e3de,Peace No. 135,2024,well_count,9.0,count,0.0,80.0
6390285e4aab,Special Area No. 3,2024,well_count,4.0,count,0.0,300.0
