municipality_key,municipality
e5ad794c0fcd,Acadia No. 34
e053c93457c8,Athabasca County
2c74a352550c,Bonnyville No. 87
341f887ca706,Calgary
59213a077d07,Edmonton
054b0fa1c822,Fairview No. 136
0cd75a814fce,Greenview No. 16
142ea646fdd7,Lesser Slave River No. 124
b5c9ef564d6b,Opportunity No. 17
ad04a5d6e3de,Peace No. 135
53183b2008d7,Provost No. 52
e903eee28e71,Rocky View County
e4135f046a88,Special Area No. 2
6390285e4aab,Special Area No. 3
3b12ce1117bf,Special Area No. 4
c41c50ac5ab8,"Taber, M.D."
86a078b2ff30,Wainwright No. 61
8e4dc1f4f41a,Warner County No. 5
